feature,gb_importance,perm_importance,ridge_coefficient
dropout_rate_pct_roll2,0.19243333861903156,0.19043245926867922,0.06845167490082323
ptr_national,0.1699193278446628,0.15941373378075793,0.10343818715330322
total_teachers_national,0.16763001997207175,0.17753579725160767,0.11745446045423345
dropout_rate_pct,0.1463325812367842,0.1582322144845355,0.06980465330254376
ptr_national_roll2,0.07095436753716683,0.11028709270834236,0.08823080207052918
qualified_teacher_ratio,0.07035136891661688,0.17184591062683255,0.15341110418242368
ptr_national_lag2,0.052352528384691524,0.08584567723169478,-0.052151537284905965
gross_completion_rate,0.05179386181828896,0.07466240417960243,0.08617517263246352
retention_pressure,0.018511885691633163,0.05924749403997446,-0.02701664855695926
ptr_national_roll3,0.017512634961863272,0.04567681481351418,0.09352790731611145
gross_completion_rate_roll2,0.010393648297246308,0.04052585023540579,0.10254414176729942
gross_completion_rate_lag2,0.006142493653465945,0.01603919266820745,0.015220571794442103
dropout_rate_pct_lag2,0.006142451146566394,0.02645585302248456,-0.07259773286471875
gross_completion_rate_roll3,0.00593904888561794,0.02803314248815783,0.10605166360406228
ptr_national_lag1,0.005717083691394055,0.02254464467132434,-0.10285938940450583
dropout_rate_pct_roll3,0.0053840396958697405,0.03261234823617311,0.06820101893465634
gross_completion_rate_lag1,0.0011970928984738592,0.008219284786992905,-0.16412448474166766
electricity_yoy_growth,0.0005114249584211223,0.004793702243256764,-0.004703364289621964
ict_yoy_growth,0.0004142383593222488,,-0.0021774328147090584
qualified_teachers_national,0.00018547156606328553,0.004699954165493483,0.11884894295543487
dropout_rate_pct_lag1,0.0001672858354184311,0.005127521209644666,-0.045627551040501216
education_quality_index,1.3806029329638591e-05,,0.05269856016717186
teachers_per_school,1.0776528562211595e-16,,-0.0017391147762213738
laptop_computers,3.98374041636258e-17,,0.0002676365593895033
projectors,0.0,,-0.0011717164786213769
desktops_per_school,0.0,,0.0010278365346949034
disability_enrolment,0.0,,0.0011112095797663974
total_dropouts,0.0,,-0.001261356235116944
nongovt_schools,0.0,,-0.0018427970155404847
pct_schools_electricity_lag2,0.0,,-0.000960734601479382
pct_schools_electricity_lag1,0.0,,-0.003168802994118672
nongovt_share,0.0,,0.0019537726186732497
enrolment_per_school,0.0,,0.001215988754635629
laptops_per_school,0.0,,0.0006976842553423043
total_schools,0.0,,-0.0009588859185186361
enrolment_f1f4,0.0,,0.002436292719336825
govt_schools,0.0,,9.872338599304285e-06
total_teachers,0.0,,-0.00294184001197471
schools_with_electricity,0.0,,-0.0014606372247674406
pct_schools_electricity,0.0,,-0.007145432996350283
desktop_computers,0.0,,-0.001020713519529463
total_teachers_lag1,0.0,,0.006601248737133733
total_teachers_lag2,0.0,,-0.00031572015027112483
enrolment_f1f4_lag1,0.0,,-0.0051050749455337245
enrolment_f1f4_lag2,0.0,,1.6316977277100222e-05
teacher_yoy_growth,0.0,,-0.0005477744435236583
enrolment_yoy_growth,0.0,,-0.0006145413299963291
pct_schools_electricity_roll3,0.0,,-0.009045233520812325
pct_schools_electricity_roll2,0.0,,-0.010322412915340718
electricity_index,0.0,,-0.0071441316644578826
ict_index,0.0,,0.0010639144319499194
school_yoy_growth,0.0,,-0.00010228440976261023
enrolment_teacher_growth_gap,0.0,,-0.0003356777235158877
teacher_quality_x_density,0.0,,-0.00037149583660995927
dropout_burden,0.0,,0.002851881087632804
disability_inclusion_rate,0.0,,-0.00046935697306491064
log_enrolment,0.0,,0.0029349564247974583
ptr_x_electricity,0.0,,0.02016112951855301
log_schools,0.0,,0.0025319356480162816
infra_x_teacher_quality,0.0,,-0.0013454851320595417
infra_index,-1.1746926868761455e-17,,-0.0018419151488519277
