feature,importance_mean,importance_std
dropout_rate_pct_roll2,0.19043245926867922,0.015105972511121142
total_teachers_national,0.17753579725160767,0.014807347764565583
qualified_teacher_ratio,0.17184591062683255,0.012773935061553226
ptr_national,0.15941373378075793,0.012626695195419209
dropout_rate_pct,0.1582322144845355,0.015382643446992025
ptr_national_roll2,0.11028709270834236,0.009483577523147468
ptr_national_lag2,0.08584567723169478,0.00817290691030429
gross_completion_rate,0.07466240417960243,0.0061529961677526685
retention_pressure,0.05924749403997446,0.0044681469205714265
ptr_national_roll3,0.04567681481351418,0.004166442879394435
gross_completion_rate_roll2,0.04052585023540579,0.0036968229593072046
dropout_rate_pct_roll3,0.03261234823617311,0.002758637065876032
gross_completion_rate_roll3,0.02803314248815783,0.0030428773357114238
dropout_rate_pct_lag2,0.02645585302248456,0.0022757682288282737
ptr_national_lag1,0.02254464467132434,0.0024577907155117536
gross_completion_rate_lag2,0.01603919266820745,0.002017077520029955
gross_completion_rate_lag1,0.008219284786992905,0.0012571786610896087
dropout_rate_pct_lag1,0.005127521209644666,0.0004933624910777861
electricity_yoy_growth,0.004793702243256764,0.0006642478966146856
qualified_teachers_national,0.004699954165493483,0.00048279527167259447
